,PK_PERSON,CREATED,Hire,Expire,job_title,position_title,grade_title,function_title,business_unit_name,department_name,location_title,country,location_country
19,4290105,2014-02-19,2015-04-22,,Senior Software Engineer,P-00741 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,Minsk_EPAM,BELARUS,BELARUS - Minsk_EPAM
20,29187558,2024-10-03,2024-10-03,2025-07-02,Software Engineer,P-02481 Independent Contractor (Close:07/01/2025),,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-126,BELARUS,BELARUS - LOCATION-3-126
21,10560120,2018-12-11,2018-12-10,2025-05-01,Principal Engineer,P-00772 Independent Contractor (Position Vacate:04/30/2025),,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-164,BELARUS,BELARUS - LOCATION-3-164
22,18393243,2021-11-04,2021-11-03,,Senior Software Engineer,P-01037 Senior Software Engineer,P4,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
23,21256906,2022-05-04,2022-05-04,2023-05-23,Product Manager,P-01692 Product Designer,P3,Product Management,Product (Christopher Campbell),Technology,IRE_HQ_2,IRELAND,IRELAND - IRE_HQ_2
24,15679031,2021-04-22,2021-04-21,,Enterprise Architect,P-01165 Principal Architect,P5,Architecture,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
25,4801363,2014-09-02,2014-09-01,,"Director, IT Infrastructure","P-00142 Director, Data Infrastructure",M5,Infrastructure,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
26,25475964,2023-03-15,2023-03-15,2025-05-12,Software Engineer III,P-02017 Software Engineer III (Position Vacate:05/09/2025),P3,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-349,IRELAND,IRELAND - LOCATION-3-349
27,11454650,2019-07-23,2019-07-15,,Associate QA Engineer,P-00793 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-173,BELARUS,BELARUS - LOCATION-3-173
28,12212296,2019-10-24,2019-10-07,2024-11-21,Senior Software Engineer,P-00734 Independent Contractor (Position Vacate:11/20/2024),,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-164,BELARUS,BELARUS - LOCATION-3-164
29,22056623,2022-07-07,2022-07-05,,Enterprise Architect,P-01738 Principal Architect,P5,Architecture,Technology (Jonathan Hyland),Technology,LOC-0031,IRELAND,IRELAND - LOC-0031
30,4290091,2014-02-19,2011-11-08,,Senior Software Engineer,P-01260 Independent Contractor,,Architecture,Technology (Jonathan Hyland),Technology,Spain_Remote,BELARUS,BELARUS - Spain_Remote
31,7133690,2016-08-24,2016-08-29,,"Associate Manager, Engineering","P-00249 Associate Manager, Engineering",M2,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
32,23746600,2022-10-19,2022-10-19,2023-04-05,Senior Data Infrastructure Engineer,P-01886 Senior Technology Manager,P4,Infrastructure,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
33,12749108,2020-03-31,2020-04-01,,Software Support Engineer III,P-00709 Software Support Engineer III,S4,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
34,22767244,2022-08-22,2022-08-22,2025-06-26,Software Engineer,P-01912 Independent Contractor (Close:06/26/2025),,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-126,BELARUS,BELARUS - LOCATION-3-126
35,28861052,2024-07-31,2024-07-31,,"Director, Engineering","P-02390 Director, Engineering",M5,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
36,10804510,2019-02-15,2019-02-19,,Helpdesk Engineer III,P-01029 Helpdesk Engineer III,S4,Infrastructure,Technology (Jonathan Hyland),Technology,USA_HQ_2,UNITED STATES,UNITED STATES - USA_HQ_2
37,19066014,2021-12-20,2021-12-15,,"Senior Manager, Engineering","P-01353 Senior Manager, Engineering",M4,Architecture,Technology (Jonathan Hyland),Technology,LOC-0031,IRELAND,IRELAND - LOC-0031
38,14455530,2021-01-19,2021-01-18,,Senior Software Engineer,P-00776 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-126,BELARUS,BELARUS - LOCATION-3-126
39,19538143,2022-01-19,2022-01-19,,Senior Software Engineer,P-01582 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-173,BELARUS,BELARUS - LOCATION-3-173
40,9443982,2018-03-27,2020-01-01,2025-05-30,Senior QA Automation Engineer,P-00799 Independent Contractor (Close:05/24/2025),,Architecture,Technology (Jonathan Hyland),Technology,Minsk_EPAM,BELARUS,BELARUS - Minsk_EPAM
41,21460442,2022-05-23,2022-05-16,2023-04-03,Network Engineer III,P-00817 Network Engineer III (Close:04/01/2023),P3,Infrastructure,Technology (Jonathan Hyland),Technology,LOC-0001,UNITED STATES,UNITED STATES - LOC-0001
42,4290094,2014-02-19,2020-03-23,2023-05-23,Senior QA Engineer,P-00726 EPAM Contractor,,Engineering,Product (Christopher Campbell),Technology,Poland_EPAM,POLAND,POLAND - Poland_EPAM
43,15729008,2021-05-06,2021-05-05,,Contracts Counsel,P-01172 Contracts Counsel,P3,Legal,Finance & Legal (Steve Cromwell),Legal,LOC-0003,IRELAND,IRELAND - LOC-0003
44,18250005,2021-10-22,2021-10-20,,"Manager, Engineering","P-00224 Manager, Engineering",M3,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
45,21137313,2022-04-22,2021-11-22,,Software Engineer,P-01707 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,Minsk_EPAM,BELARUS,BELARUS - Minsk_EPAM
46,27912363,2024-03-04,2025-08-06,,Software Engineer I,P-02582 Software Engineer I,P1,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
47,20393118,2022-03-17,2021-10-18,,Software Engineer,P-01557 Independent Contractor,,Architecture,Technology (Jonathan Hyland),Technology,Minsk_EPAM,BELARUS,BELARUS - Minsk_EPAM
48,4038879,2013-10-24,2013-10-21,,Principle Security Engineer,P-00114 Principal IT Security Engineer,P5,InfoSec,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
49,30254333,2025-03-20,2025-03-19,,Software Engineer III,P-02440 Software Engineer III,P3,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
50,18393249,2021-11-04,2021-11-03,,Senior QA Engineer,P-01343 Senior QA Engineer,P4,Architecture,Technology (Jonathan Hyland),Technology,LOC-0031,IRELAND,IRELAND - LOC-0031
51,16735192,2021-08-27,2021-08-25,,Principal Engineer,P-00527 Principal Software Engineer,P5,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
52,28265677,2024-04-22,2024-04-22,2024-09-09,Independent Contractor,P-02230 Independent Contractor,,Architecture,Technology (Jonathan Hyland),Technology,Poland_EPAM,POLAND,POLAND - Poland_EPAM
53,23469784,2022-09-28,2022-09-28,,"Manager, Engineering","P-01708 Manager, Engineering",M3,Engineering,Technology (Jonathan Hyland),Technology,LOC-0031,IRELAND,IRELAND - LOC-0031
54,24617928,2022-12-28,2022-12-05,,Senior QA Automation Engineer,P-02035 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-308,BELARUS,BELARUS - LOCATION-3-308
55,14866913,2021-02-04,2021-02-03,,Senior Software Engineer,P-01031 Senior Software Engineer,P4,Architecture,Technology (Jonathan Hyland),Technology,LOC-0031,IRELAND,IRELAND - LOC-0031
56,19538147,2022-01-19,2022-01-19,,Senior Software Engineer,P-01584 Independent Contractor,,Architecture,Technology (Jonathan Hyland),Technology,LOCATION-3-173,BELARUS,BELARUS - LOCATION-3-173
57,12637267,2020-02-24,2020-08-23,,Deskside Engineer III,P-01027 Helpdesk Engineer III,S4,Infrastructure,Technology (Jonathan Hyland),Technology,USA_HQ_2,UNITED STATES,UNITED STATES - USA_HQ_2
58,3061944,2012-07-16,2012-07-09,,Principal Engineer,P-00065 Principal Software Engineer,P5,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
59,7249066,2016-10-06,2016-10-03,,Information Security and Compliance Officer,P-00255 Information Security and Compliance Officer,EXEC,Executive Leadership,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
60,12221577,2019-10-30,2019-10-24,,Senior Software Engineer,P-00756 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-173,BELARUS,BELARUS - LOCATION-3-173
61,4290121,2014-02-19,2011-02-21,,Principal Engineer,P-00768 Principal Engineer,,Architecture,Technology (Jonathan Hyland),Technology,LOC-0031,BELARUS,BELARUS - LOC-0031
62,20376513,2022-03-16,2021-11-01,2025-02-07,Software Engineer,P-01481 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-173,BELARUS,BELARUS - LOCATION-3-173
63,15934942,2021-06-03,2021-06-02,2024-10-11,Senior QA Engineer,P-01099 Senior Technology Manager (Position Vacate:10/10/2024),P4,Architecture,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
64,19553823,2022-01-20,2022-01-19,,Senior Software Engineer,P-01580 Independent Contractor,,Architecture,Technology (Jonathan Hyland),Technology,LOCATION-3-173,BELARUS,BELARUS - LOCATION-3-173
65,24674777,2023-01-04,2023-01-04,,IT Security Engineer,P-01657 IT Security Engineer,P3,InfoSec,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
66,27427176,2023-12-20,2023-12-04,,Data Engineer,P-02248 Softserve Consultant,,Architecture,Technology (Jonathan Hyland),Technology,LOCATION-3-63,UKRAINE,UKRAINE - LOCATION-3-63
67,138744,2004-12-02,2005-06-29,,"Senior Director, Technology","P-02182 Senior Director, Engineering",M6,Architecture,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
68,11837898,2019-09-03,2019-09-03,,Legal Coordinator,P-00541 Legal Coordinator,P2,Legal,Finance & Legal (Steve Cromwell),Legal,USA_HQ_2,UNITED STATES,UNITED STATES - USA_HQ_2
69,27146598,2023-10-11,2023-10-11,,Senior Software Engineer,P-00084 Senior Software Engineer,P4,Engineering,Technology (Jonathan Hyland),Technology,LOC-0031,IRELAND,IRELAND - LOC-0031
70,27787318,2024-01-31,2025-08-06,,Software Engineer I,P-02578 Software Engineer I,P1,Architecture,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
71,1076797,2007-11-27,2007-11-26,,Senior Systems Engineer,P-00028 Senior Systems Engineer,P4,Infrastructure,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
72,1348076,2008-06-26,2008-06-23,2024-02-16,"Manager, Data Infrastructure","P-00035 Manager, Data Infrastructure",M3,Infrastructure,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
73,19436752,2022-01-12,2022-01-12,2023-08-03,Enterprise Architect,P-01436 Enterprise Architect,P5,Architecture,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
74,28102727,2024-03-27,2024-03-27,2024-09-02,Software Engineer III,P-02154 Technology Manager (Position Vacate:08/28/2024),P3,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
75,19538142,2022-01-19,2022-01-19,,Software Engineer,P-01583 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-173,BELARUS,BELARUS - LOCATION-3-173
76,27787317,2024-01-31,2024-01-31,2024-08-05,Software Support Engineer Intern,P-02220 Technology Specialist,P1,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
77,30173313,2025-03-06,2025-03-05,,Software Engineer II,P-02533 Software Engineer II,P2,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-349,IRELAND,IRELAND - LOCATION-3-349
78,30050134,2025-02-06,2025-02-05,2025-08-11,Software Engineer Intern,P-02518 Software Engineer Intern (Position Vacate:08/08/2025),P1,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
79,28507546,2024-06-06,2024-06-05,,"Manager, Engineering","P-02321 Manager, Engineering",M3,Architecture,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
80,29251121,2024-10-10,2024-09-25,,Data Architect,P-02392 Principal Architect,P5,Architecture,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
81,19436751,2022-01-12,2022-01-12,,Senior QA Engineer,P-01341 Senior QA Engineer,P4,Architecture,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
82,7069595,2016-07-28,2016-07-25,,Senior Software Engineer,P-01193 Senior Software Engineer,P4,Architecture,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
83,17477256,2021-10-13,2021-10-06,,Senior Software Support Engineer,P-01302 Senior Software Support Engineer,S5,Engineering,Technology (Jonathan Hyland),Technology,LOC-0031,IRELAND,IRELAND - LOC-0031
84,29702547,2024-12-11,2024-12-11,2025-07-14,Consultant,P-02540 Consultant,,Engineering,Technology (Jonathan Hyland),Technology,Georgia_Remote,BELARUS,BELARUS - Georgia_Remote
85,11231881,2019-06-04,2019-06-05,2025-04-11,"Manager, Engineering","P-00495 Manager, Engineering (Position Vacate:04/10/2025)",M3,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
86,12030810,2019-10-08,2019-10-07,,Senior Software Engineer,P-00782 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,Minsk_EPAM,BELARUS,BELARUS - Minsk_EPAM
87,14056720,2020-10-29,2020-10-28,2023-06-27,Senior Data Engineer,P-01038 Senior Data Engineer (Position Vacate:06/23/2023),P4,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
88,25014544,2023-01-31,2024-08-14,,Software Engineer I,P-02360 Software Engineer I,P1,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
89,29077437,2024-09-12,2024-09-11,,Senior Network Engineer,P-00354 Senior Network Engineer,P4,Infrastructure,Technology (Jonathan Hyland),Technology,LOC-0031,IRELAND,IRELAND - LOC-0031
90,20835797,2022-04-06,2022-04-06,,Senior Software Engineer,P-00580 Senior Software Engineer,P4,Engineering,Technology (Jonathan Hyland),Technology,LOC-0031,IRELAND,IRELAND - LOC-0031
91,26106403,2023-05-08,2023-02-27,2023-10-11,DNU-CW-003,P-02057 DNU-CW-003,,Engineering,Technology (Jonathan Hyland),Technology,UK_Remote,UNITED KINGDOM,UNITED KINGDOM - UK_Remote
92,20089128,2022-02-23,2022-02-23,2023-05-23,Network Engineer III,P-01485 Network Engineer III,P3,Infrastructure,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
93,21546216,2022-05-30,2022-05-30,,"Manager, Engineering","P-00234 Manager, Engineering",M3,Engineering,Technology (Jonathan Hyland),Technology,LOC-0031,IRELAND,IRELAND - LOC-0031
94,28861054,2024-07-31,2024-07-31,,AI Architect,P-02379 Principal Architect,P5,Architecture,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
95,28770987,2024-07-17,2024-07-17,,Software Engineer III,P-02391 Software Engineer III,P3,Architecture,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
96,4290101,2014-02-19,2010-12-27,,Technical Project Manager,P-00735 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,BELARUS,BELARUS - LOC-0003
97,29464537,2024-11-06,2024-11-11,2025-07-02,Consultant,P-02500 Consultant (Close:07/01/2025),,Architecture,Technology (Jonathan Hyland),Technology,LOCATION-3-173,BELARUS,BELARUS - LOCATION-3-173
98,29464539,2024-11-06,2024-11-06,,Senior Machine Learning Engineer,P-02396 Senior Machine Learning Engineer,P4,Engineering,Technology (Jonathan Hyland),Technology,LOC-0031,IRELAND,IRELAND - LOC-0031
99,12030809,2019-10-08,2019-10-07,,Senior QA Automation Engineer,P-00743 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,Minsk_EPAM,BELARUS,BELARUS - Minsk_EPAM
100,27345040,2023-11-30,2023-11-13,2024-04-04,Data Engineer,P-02231 Independent Contractor (Close:04/03/2024),,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-63,UKRAINE,UKRAINE - LOCATION-3-63
101,29554653,2024-11-19,2024-11-19,2025-07-17,Deskside Engineer,P-02427 Helpdesk Engineer III (Position Vacate:07/15/2025),S4,Infrastructure,Technology (Jonathan Hyland),Technology,USA_HQ_2,UNITED STATES,UNITED STATES - USA_HQ_2
102,9727544,2018-07-05,2018-07-04,,Senior QA Engineer,P-01070 Senior QA Engineer,P4,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
103,29141015,2024-09-26,2024-09-25,,Software Engineer III,P-02424 Software Engineer III,P3,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
104,29267654,2024-10-15,2024-09-30,2025-06-17,Consultant,P-02488 Consultant,,Architecture,Technology (Jonathan Hyland),Technology,LOC-0031,IRELAND,IRELAND - LOC-0031
105,8222173,2017-06-12,2017-06-08,,QA Automation Engineer,P-00728 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,Minsk_EPAM,BELARUS,BELARUS - Minsk_EPAM
106,11750546,2019-07-31,2019-07-31,2024-03-04,Senior Performance Test Engineer,P-00522 Senior Performance Test Engineer (Position Vacate:02/29/2024),P4,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
107,4290111,2014-02-19,2011-04-11,,Senior Software Engineer,P-00749 Independent Contractor,,Infrastructure,Technology (Jonathan Hyland),Technology,Minsk_EPAM,BELARUS,BELARUS - Minsk_EPAM
108,12956603,2020-05-26,2020-05-27,2025-08-15,"Manager, Engineering","P-00816 Manager, Engineering (Position Vacate:08/13/2025)",M3,Engineering,Technology (Jonathan Hyland),Technology,LOC-0031,IRELAND,IRELAND - LOC-0031
109,19651729,2022-01-25,2022-01-19,,Senior Software Engineer,P-01592 Independent Contractor,,Architecture,Technology (Jonathan Hyland),Technology,Minsk_EPAM,BELARUS,BELARUS - Minsk_EPAM
110,11341165,2019-07-01,2019-06-06,,Senior QA Engineer,P-00781 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,Minsk_EPAM,BELARUS,BELARUS - Minsk_EPAM
111,23736323,2022-10-18,2022-10-18,,Software Support Engineer III,P-02047 Software Support Engineer III,S4,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
112,14101513,2020-11-10,2020-10-19,,Senior QA Engineer,P-01148 Independent Contractor,,Architecture,Technology (Jonathan Hyland),Technology,LOCATION-3-126,BELARUS,BELARUS - LOCATION-3-126
113,22686014,2022-08-15,2022-08-15,,"Senior Director, Engineering","P-01700 Senior Director, Engineering",M6,Engineering,Technology (Jonathan Hyland),Technology,LOC-0031,IRELAND,IRELAND - LOC-0031
114,4759597,2014-07-29,2014-07-28,,Senior Engineering Manager,"P-01016 Senior Manager, Engineering",M4,Architecture,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
115,12540697,2020-01-20,2020-01-22,2023-05-23,Front End Architect,P-00630 Front End Architect,P5,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
116,29412716,2024-10-24,2024-10-24,,FE Senior Software Engineer,P-02496 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-126,BELARUS,BELARUS - LOCATION-3-126
117,23736325,2022-10-18,2022-10-18,,Data Engineer II,P-02048 Data Engineer II,P2,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
118,27787319,2024-01-31,2025-08-20,,Software Engineer I,P-02581 Software Engineer I,P1,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
119,29687297,2024-12-09,2024-12-09,,Software Engineer III,P-02441 Software Engineer III,P3,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
120,11764257,2019-08-06,2019-08-06,2024-02-27,Principal Engineer,P-00527 Principal Engineer (Position Vacate:02/23/2024),P5,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
121,10896392,2019-03-11,2019-03-13,,Software Support Engineer III,P-00450 Software Support Engineer III,S4,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
122,12261227,2019-11-04,2019-11-06,,Senior Software Engineer,P-01935 Independent Contractor,,Architecture,Technology (Jonathan Hyland),Technology,Spain_Remote,SPAIN,SPAIN - Spain_Remote
123,15431952,2021-02-19,2021-02-17,2025-07-09,Senior Software Engineer,P-01064 Senior Software Engineer (Position Vacate:07/08/2025),P4,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
124,29585979,2024-11-25,2024-11-25,,Consultant,P-02506 Consultant,,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-308,BELARUS,BELARUS - LOCATION-3-308
125,11787041,2019-08-13,2019-08-14,,Senior QA Engineer,P-00531 Senior QA Engineer,P4,Architecture,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
126,27146599,2023-10-11,2023-10-11,,Software Engineer II,P-02140 Software Engineer II,P2,Engineering,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
127,22281381,2022-07-20,2022-07-11,,Senior Software Engineer,P-01887 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-126,BELARUS,BELARUS - LOCATION-3-126
128,4290128,2014-02-19,2011-11-08,,Senior QA Engineer,P-00780 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,Minsk_EPAM,BELARUS,BELARUS - Minsk_EPAM
129,16237549,2021-07-22,2021-07-14,,QA Engineer,P-01274 Independent Contractor,,Architecture,Technology (Jonathan Hyland),Technology,LOCATION-3-173,BELARUS,BELARUS - LOCATION-3-173
130,19553825,2022-01-20,2022-01-19,,Senior QA Engineer,P-01575 Independent Contractor,,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-173,BELARUS,BELARUS - LOCATION-3-173
131,30868290,2025-07-08,2025-07-07,,Junior BE Engineer (shadow worker),P-02574 Junior BE Engineer (shadow worker),,Engineering,Technology (Jonathan Hyland),Technology,LOCATION-3-126,BELARUS,BELARUS - LOCATION-3-126
