pk_user,fk_direct_manager,job_title,position_title,effective_start_date,effective_end_date
67035,3139985,Buyer,P-00012 Buyer,2023-01-16,2023-02-03
67036,67036,CEO,CEO,2020-09-08,2021-05-10
67036,67036,CEO,P-00001 CEO,2021-10-29,2022-10-24
67036,67036,CEO,P-00001 Chief Executive Officer,2024-11-28,2024-11-29
67036,,CEO,P-00001 Chief Executive Officer,2025-04-16,2025-04-18
67041,696655,,,2013-09-22,2014-12-10
67041,2937837,,,2019-06-02,2019-12-07
67041,12370063,,,2019-12-07,2020-06-10
67041,12370063,"VP, Sales","VP, Sales",2020-09-08,2020-09-11
67041,14101512,"VP, Sales","VP, Sales",2020-12-07,2020-12-15
67041,12370063,"VP, Sales","VP, Sales",2020-12-15,2021-01-19
67041,14101512,"VP, Sales","VP, Sales",2021-01-19,2021-02-16
67041,14101512,"VP, Sales","P-00004 VP, Sales",2021-10-29,2022-04-03
67041,67033,Strategic Client Director,P-00004 Project Consultant,2022-04-03,2022-04-24
67041,,Strategic Client Director,P-00004 Project Consultant,2022-11-11,2023-07-28
67043,3558027,,,2013-08-04,2013-09-22
67043,7426820,,,2017-04-26,2017-04-30
67043,3558027,,,2017-04-30,2017-05-18
67043,7426820,,,2017-05-18,2017-07-14
67043,8324480,,,2017-07-14,2017-08-05
67043,,,,2020-06-16,2023-07-28
67049,303093,,,2014-12-08,2014-12-10
67049,8994194,,,2017-12-06,2018-05-17
67049,8994194,"VP, Global Human Resources",VP Global HR,2020-09-08,2020-09-11
67049,8994194,"SVP, Global HX","SVP, Global HX",2021-06-16,2021-10-01
67049,8994194,"SVP, Global HX","P-00002 SVP, Global HX",2021-10-29,2022-10-21
67049,15975969,"SVP, Global HX","P-00002 SVP, Global HX",2022-10-29,2022-11-11
67049,24886482,"SVP, Global HX","P-00002 SVP, Global HX",2023-01-28,2023-02-03
67049,24886482,"Senior Vice President, Global Human Experience","P-00002 SVP, Global HX",2023-02-03,2023-02-18
67049,15975969,"Senior Vice President, Global Human Experience","P-00002 SVP, Global HX",2023-02-18,2023-05-05
67049,26061930,"Senior Vice President, Global Human Experience","P-00002 SVP, Global HX",2023-05-05,2023-06-01
67049,26061930,"Senior Vice President, Global Human Experience","P-00002 Senior Vice President, Human Experience",2024-11-28,2024-11-29
67049,,"Senior Vice President, Global Human Experience","P-00002 Senior Vice President, Human Experience",2025-04-16,2025-04-18
67054,2624695,Sr. Global Supply Chain Manager,Sr. Global Supply Chain Manager,2020-09-08,2020-09-11
67054,2624695,Supply Chain Director,Global Supply Chain Director,2020-10-25,2021-01-05
67054,2624695,Supply Chain Director,P-00011 Global Supply Chain Director,2021-10-29,2022-04-15
67054,2624695,"Director, Operations","P-00011 Director, Supply Chain",2022-12-18,2022-12-22
67054,2624695,"Director, Global Supply Chain","P-00011 Director, Supply Chain",2023-01-16,2023-06-01
67054,2624695,"Senior Director, Global Supply Chain","P-00011 Director, Supply Chain",2024-01-22,2024-01-23
67054,2624695,"Senior Director, Global Supply Chain","P-00011 Senior Director, Global Supply Chain",2024-01-25,2024-01-29
67054,28543723,"Senior Director, Global Supply Chain","P-00011 Senior Director, Global Supply Chain",2024-08-27,2024-08-28
67054,28543723,"Senior Director, Global Supply Chain","P-00011 Senior Director, Supply Chain",2024-11-28,2024-11-29
67054,,"Senior Director, Global Supply Chain","P-00011 Senior Director, Supply Chain",2025-04-16,2025-04-18
67057,3139985,,,2015-01-10,2016-04-30
67057,3139985,Buyer,Buyer,2020-09-08,2020-09-11
67057,3139985,Buyer,P-00009 Buyer,2021-10-29,2022-04-15
67057,3139985,Operations Manager,P-00009 Buyer,2022-12-18,2022-12-22
67057,3139985,Buyer,P-00009 Buyer,2023-01-16,2023-02-03
67057,,Buyer,P-00009 Buyer,2025-04-16,2025-04-18
67058,67033,Practice Leader & Strategist,Practice Leader & Strategist,2020-09-08,2020-09-11
67058,67033,Practice Leader & Strategist,P-00007 Practice Leader & Strategist,2021-10-29,2022-02-10
67058,4771793,Practice Leader & Strategist,P-00007 Practice Leader & Strategist,2022-10-29,2022-11-11
67058,4771793,VP and Practice Leader,P-00007 Practice Leader & Strategist,2023-01-16,2023-02-01
67058,4771793,VP and Practice Leader,P-00007 VP and Practice Leader,2023-02-01,2023-02-03
67058,4771793,Vice President and Practice Leader,P-00007 Vice President and Practice Leader,2023-02-03,2023-05-05
69005,67036,CTO,CTO,2020-09-08,2021-05-10
69005,67036,CTO,P-00005 CTO,2021-10-29,2022-10-24
69005,67036,Chief Technology Officer,P-00005 CTO,2024-08-27,2024-08-28
69005,67036,Chief Technology Officer,P-00005 Chief Technology Officer,2024-11-28,2024-11-29
69005,,Chief Technology Officer,P-00005 Chief Technology Officer,2025-04-16,2025-04-18
108324,,,,2013-09-22,2023-07-28
108325,,,,2019-05-31,2023-07-28
108326,5238219,,,2015-01-19,2015-02-07
108326,3434373,,,2015-02-07,2016-07-27
108326,,,,2018-01-07,2023-07-28
115927,2937837,,,2013-09-22,2014-12-10
115927,2937837,"VP, Customer Experience","VP, Customer Experience",2020-09-08,2020-09-11
115927,67033,"VP, Customer Experience","VP, Customer Experience",2020-09-11,2021-01-05
115927,67033,"VP, Customer Experience","P-00017 VP, Customer Experience",2021-10-29,2022-02-10
115927,21740703,"VP, Customer Experience","P-00017 VP, Customer Experience",2022-10-29,2022-11-11
115927,15719052,VP Workhuman Experience,"P-00017 VP, Customer Experience",2023-01-16,2023-03-21
115927,23616333,VP Workhuman Experience,"P-00017 VP, Customer Experience",2023-03-21,2023-05-05
115927,,VP Workhuman Experience,"P-00017 VP, Customer Experience",2023-05-05,2023-07-28
