message,award_title,recipient_title,nominator_title
"Kaleigh, This year has been an incredible experience working with you. From helping out with the 3rd party placements, to running our webinar replay program and publishing the Cisco/BP video and landing page your work ethic and willingness to always help is inspiring.  The webinar replay program that you oversaw in 2025 Influenced nearly $170M in pipeline. That's no small feat with many moving parts to always manage.  You work with a high level of accountability always willing to work on solving a challenge with solution and offering to help others anytime they need it.  You are a true team player and I am so privileged to work with you.  Thank you for all you've done to make this year a success. Cheers to 2026!",Thank You for Your Incredible Impact in 2025!,Demand Generation Specialist,"Senior Manager, Demand Generation"
"Brianna, Your contributions and impact this year has been incredible.  The webinars you managed this year have contributed nearly $100M in Influenced Pipeline with more to come in from the Everest webinar which took place in November.  We'll continue to see influence from that webinar for the next 5 months.  It is an absolute pleasure working with you. Thank you for all you did to make this year a success. Cheers to a fantastic 2026!",Webinars for the Win in 2025!,Senior Demand Generation Specialist,"Senior Manager, Demand Generation"
"Team, this year asked a lot of us... lots of ""new"" in the mix: team, managers, processes, expectations, priorities, ways of working. You met every challenge with resilience, collaboration, and heart. Whether the project was big or small or admin, high-stakes or everyday support, you showed up with dedication and a commitment to doing your best. Thank you for embracing change (and me 😉), supporting one another, and proving what a strong, capable team we are. I’m incredibly proud of everything we accomplished together.",This team gets it done (well),Art Director,"Director, Creative"
"Team, it was so fun to take a moment this week and celebrate everything you achieved in 2025. The campaigns, research, bold ideas, pivots and wins you helped deliver on deserved to be celebrated and recognized in our Marketing All Hands!   I can't wait to see what we build together in 2026, but for now, a very humble and sincere thank you from me to you",Cheers to 2025!,"Manager, Creative and Production Design",Chief Marketing Officer
"Thank you so much, Maureen, for jumping in so quickly and transforming the Delaware North presentation deck! Your design expertise, thoughtful approach to simplifying the story, updates to slides, attention to the talking points, and overall polish made such a huge impact in such a short amount of time! So grateful for the care, creativity, and clarity you bring to everything you touch. You really are a wizard and we appreciate you so much!!!!!",You Worked Magic,Lead Presentation Designer,Account Based Marketing Manager
"Thank you both for your partnership today on the new ABM microsite & paid media launch process! Your clarity, collaboration, and problem solving helped us move from concept to an executable plan, and we now have clear next steps, owners, and momentum heading into our first cluster launch. Appreciate the support and teamwork!!!!",ABM Microsite & Paid Media Relaunch,"Director, Creative",Account Based Marketing Manager
Thank you to this team for always delivering - especially with an urgent deadline.  We needed to provide a speaker approval package in record time to have a chance for approvals by the holidays.  It's no surprise that you all shifted priorities to make it happen.  The assets look great and the package is in the speaker team's hands for review.  Fingers crossed for a quick response so we can announce our next mainstage speaker on schedule.,Speaker Package - Stat!,Art Director,Event Marketing Director
"As the year comes to an end, I want to highlight the amazing work you’ve done on the On-Service Desk. Creating the escalation process, running dry-runs, and pulling together all Dublin sites into one unified desk has been a huge feat — and you made it look effortless.  Nothing is ever too much for you, and you remain so approachable throughout it all. I’m genuinely impressed by you every single day.  We honestly don’t know what we would do without you. Thank you, on behalf of the Product Engineering team, for everything you do",Amazing Jira Man,Senior Systems Engineer,"Director, Engineering"
"Eoin, thanks so much for kitting out the OCP desks last week. I know there was a bit of a push to get them done before the break, so I really appreciate the focus you gave to get everything up and running. Getting this ticked off helped keep us on track with the timeline. Great to have it wrapped up! Cheers!",OCP Desk setup,"Manager, Global Helpdesk","Director, Workplace Experience EMEA"
"“Thank you all for your collaboration this year on requests, renewals, RFP's and everything in between throughout the year- your support and engagement has been invaluable and is the basis of the progress achieved this year. Wishing you a well‑deserved break and looking forward to building on this momentum with further progress in 2026!”",Finance x Procurement,"Vice President, FP&A",Senior Procurement Category Partner
"Maya, I wanted to take a moment to say thank you for all of the kindness, support and help you have given to me over the past year. You are an exceptional colleague - thoughtful, considerate, and caring. The expertise and guidance you have given our team has been instrumental as we have grown Smart Assistant. Hope you and your family have a lovely break over the holidays!",Thank you!,"Senior Manager, Linguistics and WHiQ Operations",Principal Engineer
"Sarah, I wanted to drop a quick note to say thank you for all of the wonderful support you and your team have given me, the Smart Assistant team and the Product Engineering department over the past year. You are an amazing foundation of knowledge, and your expertise has been invaluable as we built out Smart Assistant in 2025. Hope you have a wonderful break over the holidays! Cheers",Thank you!,"Senior Manager, Machine Learning Engineering",Principal Engineer
"David, as we wrap up the year, I want to recognise the incredible support you've given me throughout. Your extensive knowledge of how TechFlow operates has made you my go-to person time and again, and your willingness to share that expertise has been invaluable. Over the past year, you've not only helped me navigate complex challenges but have also been a trusted advisor I could rely on. Our regular ad-hoc coffee chats have been a highlight—whether we're talking through product questions or just catching up, they've always left me feeling more connected and energised. Being a long-standing ""Team Member"" with experience across different product areas, you bring a unique perspective that makes a real difference. Thank you for your openness, generosity, and for making this past year so much easier and more enjoyable for those around you. Here's to more great conversations and collaboration ahead! 🙌",A Year of Support and Trusted Guidance 🌟,"Senior Product Advocate, Integrations",Senior Product Manager
"I would like to extend my sincere gratitude and appreciation to this Financial Operations team for the wonderful partnership throughout 2025. Projects were accomplished, we navigated month-end and quarter-end thanks to your collaboration and keeping each other informed. I truly value the strong relationship between Financial Accounting and Financial Planning. Looking ahead to 2026, I'm excited to continue building on this foundation and achieving even greater results together.",Thank you team!,"Senior Manager, Financial Accounting","Director, FP&A"
"Hi All - i would like to thank you guys for your input that enables me to produce a cashflow forecast, with out your help it would make it next to impossible. Thanks and enjoy!",Cashflow Contributors,Demand Planner,Senior Financial Accountant
"I want to take a moment to express my gratitude for the time spend on the vendor search project so far. From kick off calls to define scope, evaluation criteria and map out each of our roles, to the participation in demos and thoughtful scoring vendors to find the best solution, this team really brought their A-game. Your engagement in asking thoughtful questions, commitment to tight deadlines and fair evaluation of the participants lead us to identifying a vendor that we feel confident in. While there is much work to be done ahead and I'm afraid you won't be getting rid of me anytime soon, I did want to pause and thank each of you for the work so far! I truly couldn't have asked for a better panel to lead the charge with.",A+ cross-functional efforts,Human Experience Strategy Partner,"Manager, HX Operations"
"Apologies that this award is a tad belated, but thank you for all your efforts in the interviewing process that resulted in hiring Alex! A successful hire is not always easy but thanks to the diverse viewpoints of this group we were able to find a great new teammate.",Excellent hire from an excellent team!,HX Generalist,"Senior Manager, Machine Learning Engineering"
"Hi all, Coming to the end of the year I just want to thank some time to say thank you for all that you do for our team. Keeping us informed in regards to vendors, inventory related items and so much more is very much appreciated. Any queries we have you are always so helpful and informative and it is never a problem if we need any assistance. It such a pleasure chatting to you on a daily basis and you are always so welcoming with our many questions! Wishing you all a wonderful Christmas and Happy new year!",Thank you!,"Director, Workplace Experience EMEA",Supply Chain Specialist
"Thank you to the HX SMEs who facilitated the Performance Updates training for our People Leaders! Because of you, our People Leaders will be well equipped to lead their teams in setting quarterly goals.",Conversations Updates Training for People Leaders,Human Experience Strategy Partner,"Director, Learning and Development"
"Thank you all for your collaboration this year on requests, renewals, RFP's and everything in between throughout the year- your support and engagement has been invaluable and is the basis of the progress achieved this year. Wishing you a well‑deserved break and looking forward to building on this momentum with further progress in 2026!",HX x Procurement,"Senior Director, Total Rewards",Senior Procurement Category Partner
"On behalf of the entire Customer Service Leadership Team, we want to express our sincere thanks for all your support, guidance, and partnership throughout the year. Your expertise, insight, and constant collaboration make an enormous difference to our teams and to the service we deliver every day. We truly appreciate everything you do — often behind the scenes — to keep us running smoothly and set us up for success. Thank you for your hard work, your patience, and the positivity you bring to every challenge. We couldn't do what we do without you. With appreciation, The Customer Service Leadership Team",Hx Hero!,HX Generalist,"Team Leader, Customer Service Operations"
"I wanted to say thanks for all the work that each of you put into the team migration project over the last while. Everyone went above and beyond to make it possible. There was great teamwork displayed throughout the last few months, from product to design to engineering to testing. All showcasing how valuable you all are to the team. The release was made possible by the work that you all put in!",My Teams,Senior Software Engineer,Senior Software Engineer
"Team, I just want to say thank you to you both for the support with numerous queries I have had over the last few weeks. From explaining in unbelievable detail why data processes get stuck, to quick turnarounds on navigation bar translations (Canadian French) and various other queries/tickets that you have answered I really appreciate it. One query that stands out was a client query we thought was not possible to achieve when they wanted their browser tab updated, they had escalated this all the way to their CHRO who was really pushing for this to be done. I reached out to you directly and you were able to confirm how this could be done. Thank you both for the continued support!",Supporting TS Queries,"Manager, Engineering Support",Technical Services Specialist II
"Thank you for joining the team who will deliver Christmas to all of Operations. It takes a fair bit of work with the website, amazing flyer, emails and lots of questions answered to get the Secret Santa to deliver all the presents on time. Its very much appreciated that you took this on and hopefully will bring smiles to faces and some joy to the different groups in the business.",Thanks for stepping in to help out,Senior Customer Service Executive,"Senior Director, Supplier Relations"
"As we close out 2025, I want to celebrate the incredible achievement of launching Social Sharing, one of ConnectCorp's key new features this year. Since its launch on 15th July, adoption has been outstanding—1,691 LinkedIn posts created by 1,048 users across 30 customers, and the numbers keep growing! 🎉 This success was driven by exceptional collaboration: Emma and Jake, for aligning dependencies and ensuring a smooth product launch; Lisa, for enabling Social Sharing for clients on platform launch; and Rachel, whose stewardship and keen eye for detail rallied Product Leadership, ensured the customer success team were ready and enabled, and maintained quality standards for every post created. Your efforts made this feature a standout success in 2025. Looking ahead, I'm excited about the new Social Sharing capabilities we'll deliver in 2026—sharing Service Milestones and other celebration moments, enabling nominators to share awards they've given, and expanding beyond LinkedIn and internal platforms to additional platforms. The journey continues, and the best is yet to come! 🙌",Social Sharing: A 2025 Success Story 🎉,Principal Enterprise Program Manager,Senior Product Manager
"Team, A long long overdue thank you for all the support and guidance you've given myself in 2025 it's greatly appreciated. I know i've had a number of ""quick questions"" for all of you which weren't as quick as we had hoped but you've to a man persevered with many curve balls thrown and were able to close my queries out allowing us to move on with monthly reporting. You all demonstrate the core values of our company and thanks again. Thanks",Finance Support,Senior Product Manager,Financial Accountant
Thank you Chris for always replying to my many questions and providing me with so much support when needed. It is really great I can always count on you when our customers need us. Thank you very much,Thank you Jamie,"Team Leader, Customer Service Operations",Senior Customer Service Executive
"Team, It's truly a pleasure working alongside such talented and efficient people. Your support, cooperation and dedication make all the difference, and together we've achieved amazing results this year :) As the year comes to an end, I want to wish you a Merry Christmas and hope you enjoy a wonderful time with your loved ones. Thank you again for everything",Thank You for a Brilliant Year,Buyer,Associate Buyer
"With all our ongoing correspondence between ourselves and the suppliers, thank you for being such great intermediaries and for consistently handling purchase orders and related issues with efficiency and urgency. Your clear communication and proactive approach make a real difference and help keep everything running smoothly. I'm really looking forward to continuing to work closely together and achieving even more as a team in the new year. Wishing you all a very Merry Christmas and a Happy New Year!",PO Whisperer's,"Senior Manager, Global Procurement",Supply Chain Associate
"I want to recognize the incredible efforts of our sales team and your dedication to making work meaningful. We have the privilege of ""selling"" something that directly influences how people show up both in and outside of work. We take everyday moments and help turn them into meaningful memories. It's not the simplest or easiest sell, but it's certainly one of the most gratifying because we know the impact it creates. That impact wouldn't be possible without each of you—your commitment to improving, championing our value, positioning creatively, and continuously educating our customers. Your fortitude fuels gratitude for all.",One Team - Same Goal . Thank you 2025,Corporate Sales Executive,"Vice President, Sales - North America"
"Hey all, I would like to take this moment to thank each of you for your support this year. From IT issues to TaskTracker to CoreSystem, I have had to reach out to each of you multiple times for help and I am very grateful for that. Thank you!",Super Support 2025,Helpdesk Engineer III,Accounts Payable Specialist
"Thank you for all the incredible efforts during the last Sprint! You delivered algorithm improvements, ran performance tests for backfill and the algorithm improvements, and updated services to Java 21—all while tackling security vulnerabilities. As if that wasn't enough, the squad also made time for another Ways of Working session, showing true commitment to continuous improvement. Your ability to manage multiple priorities at the same time is outstanding. Well done, team!",Kudos to Ascalon!,Senior Software Engineer,"Manager, Engineering"
"Phoenix & Titans, This award is a small attempt to recognize something that has been anything but small this year. We shipped. We delivered real outcomes for the business. We solved hard problems—sometimes under tough timelines and occasionally with requirements that evolved mid-sentence. But this award is not just about the work but how we worked. Over the year, you exhibited what true partnership looks like—product, engineering, QA all pulling in the same direction. You challenged ideas, debated strongly and aligned quickly. The trust we have for each other translates directly into impact for the business, and it showed in every release we shipped. But even more, what makes this team special, goes beyond delivery velocities and roadmaps. You bring kindness into our day-to-day interactions. You create space for different opinions, backgrounds, and working styles. You help each other learn. You help make work a place people enjoy coming to. We can laugh after a tough sprint, celebrate small wins, support each other on hard days – that's the culture we have built. Thank you for the partnership, the friendship, the patience, the humour, and the trust. The year behind us was stronger because of you—and I am excited to get the ground running with you all next year. Wishing you and your loved ones a very happy holidays.",The team that made the year,QA Automation Engineer,Senior Product Manager
"Thank you all for your incredible efforts during the last Sprint. You went above and beyond by tackling the security issues head-on and fixing every single one, bringing ALPHA to zero vulnerabilities by the end of Security Week! And as if that wasn't enough, you managed to parallelise refinements and investigations for the upcoming work at the same time. Outstanding job, team!! Well done! 🚀",Mission Accomplished: Zero Vulnerabilities!,Software Engineer,"Manager, Engineering"
"Thank you team for your support throughout 2025. Your guidance on solution revenue and billings for accounting standards and reporting—and the Revenue learning sessions you hosted—made a huge difference in clarifying complex topics and strengthening my understanding. Appreciate your readiness to support either it is big or small i.e.. sales tax, affiliate or sponsorship related. Looking forward to 2026 together!",Thanks to Revenue Team!,Senior Financial Accountant,Junior Financial Accountant
"This is a long overdue thank you for covering for me while I was on sick leave. I got the awful dose of the cold/flu that's doing the round, and I was out of action completely. It was great to come back and having loads of emails and tasks already dealt with. Thank you so much. I really appreciate it all.",Sickness cover,"Senior Manager, Financial Accounting",Financial Accountant
"I wanted to take a moment to thank you all for your support this year- assisting with regional VAT queries and accruals, providing information for the quarterly CT provision, approving VAT payments, tax journals for our monthly VAT payments. I really appreciate your help!",2025 Tax Support,"Senior Manager, Financial Accounting",Senior Tax Accountant
"Marcus, A huge thanks for all your help and support in 2025 it is greatly appreciated. We started off in Q1/Q2 with the components project and as usual you were a huge help in closing this out enabling us to have our AR parts in great shape. Further to this your input into various aspects including the fee schedule and closing out quarterly reporting (Fixing invalid VAT numbers aside) is greatly appreciated and thanks again for making my job that bit easier. Cheers, Alex",Revenue support,"Senior Manager, Financial Accounting",Financial Accountant
"Sarah and Lisa, I want to sincerely thank you for your hard work and ongoing collaboration on the Auto Enrollment Project for our regional Pension Scheme. Your dedication to thorough research and commitment to ensuring we're doing everything possible to make this initiative a success is truly appreciated. I greatly value your partnership and am confident that, with your support, our employees are in excellent hands.",Thanks for your partnership with Auto Enrollment!,"Associate Manager, Payroll and Incentives","Senior Manager, Global Benefits"
"As we conclude the year, I would like to thank Operations team for consistently being there when needed and for the great support provided throughout the year. Each expertise, reliability, and dedication have made a meaningful difference throughout the year. Always making sure all reports were sanitized well when reviewed and everyone made the extra effort to double check all backup was provided and analysis was correct. If any time I was in doubt each one of you have jumped on a call/meeting to go through variances/slides/recs. Always something to learn from each one of you, looking forward to a new successful year!",Grateful for a successful year in the best team,Payroll Specialist,Junior Financial Accountant
"Thank you all for another successful year together, putting our clients needs in the first place. Appreciate your collaboration, here's for many more!",Respect for Customers,"Associate Manager, Customer Service Operations",Buyer
"Wanted to take a moment to shout you four out today! During the All Hands - AEs you all support got some great and well deserved praise on their KPIs, Pipeline and outstanding work in 2025. The impact you all provide certainly played and plays a crucial role in all we do here in acquiring our new clients and helping AEs consistently engage in spreading the good word of TechSolutions! Outstanding support and partnership! Thank you!!",Great Partners!!,Senior Business Development Representative,"Manager, Business Development"
"It's been great joining this team and working with you. I've learned a lot thanks to all of you. Your hard work, dedication, and teamwork made everything easier this year. We helped each other and grew stronger together. I'm excited for the year ahead, and I wish you a Merry Christmas and a wonderful New Year.",Thank You Team,"Manager, Product Management - BOS","Manager, ERP Application Engineering"
"Hi Emma, I wanted to recognise you for your help with the most recent rule request from MegaCorp, you help me to troubleshoot why it was working partially only and helped to test, and even went above & beyond and suggested me to create a supplemental document for TS and the CSM to be able to understand the logic of the rule, and what we were trying to accomplished when we created. Thank you for being such an amazing colleague and always going above & beyond.",Rules rules rules rules,Senior Launch Success Manager,Launch Success Manager
"It is never easy and straight forward with the first time activities, especially to be done on large scale, like backfilling embeddings. I would like to appreciate you all for demonstrating patience when we were working on getting to know and understand different scenarios around backfilling. And because of these efforts we will be able to navigate to a better path going ahead. Hoping for the best outcome. Thanks :)",Testing around backfilling embeddings,Principal Engineer,Senior QA Engineer
"I'd like to take a moment to sincerely thank you for your collaboration throughout 2025. From partnering on key projects to help each other out when needed. I hope you enjoy a well-deserved break with family and friends. Wishing you a joyful Christmas and a happy, successful New Year.",Thank You,Functional QA Engineer- BOS,Senior Associate Application Engineer- BOS
"I'd like to take a moment to sincerely thank you for your collaboration throughout 2025. From partnering on key projects to help each other out when needed. Thank you for the support, teamwork, and commitment you've brought throughout the year. Your contributions genuinely make a difference. Wishing you a joyful Christmas and a happy, healthy, and successful New Year.",Thank You,"Associate Manager, Infrastructure",Senior Associate Application Engineer- BOS
I would like to nominate Performance team for the professionalism with which few of our urgent requests were accommodated. It was a sound collaboration which helped Phoenix squad move more closer to shifting left with Performance testing. Thanks,Performance Heroes,"Manager, Performance Test",Senior QA Engineer
Congrats on be a winner on this weeks TechChampion advent calendar wheel spin,Advent Wheel of Supportasaurus - Week 2 Winners,"Director, Engineering","Manager, Engineering Support"
"Dear teammates, as we move into 2026, I want to sincerely thank each of you for your hard work, reliability, and support throughout the year. Your commitment, teamwork, and attention to detail makes a real difference every day, and I truly appreciate everything you do. I'm grateful to work with such a dedicated team and look forward to another great year to support each other, to help each other and to work together into bringing the best results. Have a Wonderful Christmas!","Thank You, AP Team – 2025",Lead Accounts Payable Specialist,Accounts Payable Specialist
"I want to express my sincere appreciation to the Procurement team for your incredible partnership with FP&A throughout this year. Your collaboration has been instrumental in driving improvements in processes and enhancing efficiency in 2025. As we look ahead to 2026, I'm excited about continuing this strong partnership and building on our shared success. Together, we can achieve even greater results! Thank you again for your dedication and teamwork.",Great partners! 2026 here we come!!,Senior Procurement Category Partner,"Director, FP&A"
"Alex as we approach the end of 2025, I want to thank you for all your support throughout the year. You helped get the CloudTech contract over the line and you have been instrumental in the progress with PayFlow contract to date. I really appreciate your patience, resilience and professionalism. You are a great partner to the FA team.",Great support,Senior Procurement Category Partner,"Senior Manager, Financial Accounting"
"Marcus, I just wanted to take a moment to say thank you for all the effort you've been putting in—it really means a lot. During the authentication system development especially, you've been incredible—constantly finding solutions to the blockers that came our way. It was truly impressive how, whenever we hit a challenge, by the very next morning you already had a fix ready. Your dedication and problem-solving skills have made a huge difference for the team. Thanks for always stepping up and making things happen!",Blockers be gone !,Senior Software Engineer,"Manager, Engineering"
"I just wanted to take a moment to thank you for taking the time to address the network connectivity issue after hours and helping to resolve it for our team. Your quick response and willingness to go above and beyond to ensure everything was up and running smoothly is greatly appreciated. It means a lot to us that we can count on your expertise and support, even outside of regular hours. We couldn't have done it without you. Thanks again for all your hard work and dedication!",Friday night support!,End User Services Engineer III,"Team Leader, Customer Service Operations"
"Vincent, wanted to call out all that you have done for the team. It really has been amazing the job that you've done. Completing due diligence when a Designer wasn't available or the superior quality of the job that you do. You are a fantastic addition to the team.",WAY Above and Beyond,Consultant,"Senior Product Advocate, Integrations"
"Thank you for jumping on the ask to provide daily updates to Regional Financial. It is such a pleasure to log in and to have a viable solution presented, along with a very acceptable timeline. This another great example of the team rallying in a situation that was unexpected. Such a pleasure to be part of the team.",Scheduling Success,Senior Software Engineer,"Senior Product Advocate, Integrations"
"Nina & Maya, On behalf of the Merchandise Team, we would like to extend our heartfelt gratitude for the unwavering support you have provided our team throughout 2025. We are deeply appreciative of the open lines of communication and the assurance that your doors are always open to us. Your trust and readiness to assist have been instrumental in our success this year. We want to take this moment to wish you and your loved ones a very Merry Christmas and a Happy New Year! With sincere thanks, The Merchandise Team",Unwavering Support!,"Senior Manager, Customer Service Operations",Customer Service Coordinator - Merchandise
"Thanks to each and everyone one of you for all your hard work, dedication and teamwork throughout 2025. We all got to know one another a little better through our team offsite and through tough moments, we supported one another. This is such a lovely team to be part of, and I wish you a wonderful Christmas period and send you best wishes for 2026!",Thank you all for 2025,Senior BI Analyst- BOS,"Senior Manager, Program Management- BOS"
"I would like to thank you All for your contributions throughout the year. The hard work, support, and teamwork really made a difference, and I'm grateful to work with such a great group of people. I hope you all get some time to switch off, relax, and enjoy the holidays with family and friends. Wishing you a very Merry Christmas and a great start to the New Year. Thanks for all the energy and great teamwork this year🎄❄️",Thank you and Merry Christmas,Application Engineer- BOS,Functional QA Engineer- BOS
"2025 has been a year of many ups and downs, but everyone showed great resilience and continued working in collaboration and support of each other and our stakeholders - a massive thank you for that. We achieved lots and everyone should be really proud of the part they had to play. Stronger together!! Wishing you all a wonderful Christmas and here's to 2026 being bigger and better for everyone, inside and outside of work ❣️",As we close out 2025 - a huge thanks!,"Manager, ERP Application Engineering","Director, Back Office Solutions"
"Karen, this is certainly over due, but huge thanks for the amazing partnership - not just for the recent company meeting, but all the support throughout the year. You keep us so well informed and aligned globally, from knowing when folks are travelling in or visiting to flagging any changes along the way. You're always on top of it all, and it makes such a difference. I'm really grateful to work with you!",Always one step ahead,Executive Assistant,"Director, Workplace Experience EMEA"
"Folks, Thanks for all the cross functional support. Managing floats has been challenging but very successfully managed during each quarter. Our provision report has been managed very effectively each month with inventory write offs kept to a minimum each quarter. The cross functional work on the forecast numbers, cash flow and end of quarter inventory targets is a great support to the Planning department. As we make the final push over the coming week, our numbers are on track to exceed the targets we expected to achieve. Looking forward to more challenges and successes next year!!!",Support during 2025!,Senior Financial Accountant,"Manager, Demand Planning"
"This award goes to the whole Mobile team because in 2025, we didn't just improve the app… we completely redefined what mobile at TechFlow can be! We launched a game-changing new Recognition Flow that's already proving to be a huge success. We modernised the entire look and feel of the app, bringing it into a new era of clarity, delight, and identity. And now, we are tackling accessibility head-on, building an experience that is more inclusive, more human, and more aligned with who we are as a company. Thank you so much for being an amazing team to work with! We still have a few days to go in 2025, but I'm getting ahead of myself and letting all of you know now that you were all incredible this year! Here's to everything we achieved this year, and everything we're about to conquer next. 💛⚡️",Masters of the (Mobile) Universe,Android Developer,Product Designer
Congratulations Sarah on the birth of your beautiful new baby. Enjoy this precious time with your newborn.,New baby!,Software Engineer I,"Director, Engineering"
"Hi Amanda, this is long overdue, but not forgotten. I would like to say a big Thank you for all your support through 2025 with payroll, expenses and operational expenditures. You are such an important piece of our larger team, you're always on top of things, eager to help and support us and this is not taken for granted. I wish you a Wonderful Christmas and a successful 2026. ❤️",2025 Thank you!!,"Associate Manager, Payroll and Incentives",Accounts Payable Specialist
